,chlorides,density,pH,sulphates,alcohol,quality
0,0.076,0.9978,3.51,0.56,9.4,F
1,0.098,0.9968,3.2,0.68,9.8,F
2,0.092,0.997,3.26,0.65,9.8,F
3,0.075,0.998,3.16,0.58,9.8,E
4,0.076,0.9978,3.51,0.56,9.4,F
5,0.075,0.9978,3.51,0.56,9.4,F
6,0.069,0.9964,3.3,0.46,9.4,F
7,0.065,0.9946,3.39,0.47,10.0,D
8,0.073,0.9968,3.36,0.57,9.5,D
9,0.071,0.9978,3.35,0.8,10.5,F
10,0.097,0.9959,3.28,0.54,9.2,F
11,0.071,0.9978,3.35,0.8,10.5,F
12,0.08900000000000001,0.9943,3.58,0.52,9.9,F
13,0.114,0.9974,3.26,1.56,9.1,F
14,0.17600000000000002,0.9986,3.16,0.88,9.2,F
15,0.17,0.9986,3.17,0.93,9.2,F
16,0.092,0.9969,3.3,0.75,10.5,D
17,0.368,0.9968,3.11,1.28,9.3,F
18,0.086,0.9974,3.38,0.5,9.0,G
19,0.341,0.9969,3.04,1.08,9.2,E
20,0.077,0.9968,3.39,0.53,9.4,E
21,0.08199999999999999,0.9982,3.52,0.65,9.7,F
22,0.106,0.9966,3.17,0.91,9.5,F
23,0.084,0.9968,3.17,0.53,9.4,F
24,0.085,0.9968,3.43,0.63,9.7,E
25,0.08,0.9955,3.34,0.56,9.3,F
26,0.08,0.9962,3.28,0.59,9.5,F
27,0.106,0.9966,3.17,0.91,9.5,F
28,0.08,0.9972,3.47,0.55,9.4,F
29,0.08199999999999999,0.9964,3.38,0.59,9.8,E
30,0.08900000000000001,0.9958,3.35,0.54,10.1,F
31,0.105,0.9966,3.46,0.57,10.6,E
32,0.083,0.9966,3.17,0.66,9.8,F
33,0.073,0.9993,3.45,0.52,9.4,E
34,0.103,0.9957,3.38,0.55,9.2,F
35,0.086,0.9986,3.4,0.55,9.6,E
36,0.086,0.9975,3.42,0.6,10.8,E
37,0.066,0.9968,3.23,0.73,9.7,D
38,0.172,0.994,3.5,0.48,9.8,G
39,0.07400000000000001,0.9978,3.33,0.83,10.5,F
40,0.07400000000000001,0.9978,3.33,0.83,10.5,F
41,0.08800000000000001,0.9976,3.26,0.51,9.3,G
42,0.332,0.9968,3.21,0.9,10.5,E
43,0.069,0.9968,3.3,1.2,10.3,F
44,0.05,0.9962,3.48,0.52,9.5,F
45,0.054000000000000006,0.9934,3.9,0.56,13.1,G
46,0.114,0.997,3.25,0.73,9.2,F
47,0.113,0.9969,3.25,0.58,9.5,F
48,0.066,0.9958,3.34,0.56,9.2,F
49,0.07400000000000001,0.9954,3.32,0.58,9.2,F
50,0.07400000000000001,0.9971,3.15,0.74,9.2,F
51,0.069,0.9956,3.4,0.63,9.4,E
52,0.068,0.9955,3.39,0.64,9.4,E
53,0.081,0.997,3.2,0.56,9.4,F
54,0.11,0.9955,3.17,0.63,10.2,E
55,0.084,0.9978,3.34,0.53,9.5,F
56,0.07,0.9971,3.04,0.63,9.6,F
57,0.111,0.9983,3.26,0.77,9.4,F
58,0.076,0.9975,3.43,0.59,10.0,F
59,0.07400000000000001,0.9962,3.41,0.54,9.4,E
60,0.079,0.998,3.44,0.64,9.2,F
61,0.115,0.9968,3.21,0.71,9.3,F
62,0.085,0.9968,3.38,0.62,9.5,D
63,0.081,0.9966,3.39,0.57,9.8,F
64,0.086,0.9962,3.41,0.39,10.9,F
65,0.086,0.9962,3.41,0.39,10.9,F
66,0.079,0.9968,3.42,0.58,9.6,F
67,0.076,0.9962,3.44,0.58,10.7,F
68,0.07400000000000001,0.9969,3.28,0.79,10.7,F
69,0.07400000000000001,0.9962,3.34,0.95,10.5,E
70,0.076,0.9967,3.32,0.54,9.5,E
71,0.08800000000000001,0.9962,3.32,0.48,9.5,F
72,0.084,0.9961,3.31,0.48,9.5,F
73,0.084,0.9976,3.31,0.53,9.2,G
74,0.094,0.9984,3.28,0.82,9.6,F
75,0.093,0.9986,3.54,0.66,10.5,F
76,0.093,0.9986,3.54,0.66,10.5,F
77,0.104,0.9966,3.52,0.55,10.7,E
78,0.086,0.9958,3.38,0.52,10.1,F
79,0.08,0.9972,3.16,1.12,9.1,G
80,0.069,0.9958,3.41,0.56,9.2,F
81,0.464,0.9974,3.13,1.28,9.4,F
82,0.086,0.997,3.36,0.57,9.1,F
83,0.401,0.9969,3.16,1.14,9.4,F
84,0.069,0.9959,3.44,0.78,10.3,E
85,0.076,0.9961,3.41,0.59,10.1,F
86,0.11,0.9972,2.93,1.95,9.9,E
87,0.062,0.9966,3.39,0.64,9.6,F
88,0.107,0.9978,3.14,1.22,9.5,F
89,0.076,0.9978,3.48,0.53,9.0,F
90,0.079,0.9964,3.23,0.54,9.5,F
91,0.11,0.9972,2.93,1.95,9.9,E
92,0.11,0.9972,2.93,1.98,9.8,F
93,0.062,0.9966,3.39,0.64,9.6,F
94,0.045,0.9938,3.75,0.48,10.5,G
95,0.058,0.9932,3.85,0.6,12.9,E
96,0.102,0.9965,3.45,0.56,10.7,F
97,0.07,0.9963,3.25,0.63,9.2,F
98,0.079,0.9967,3.39,0.56,9.8,F
99,0.08,0.9972,3.3,0.59,9.0,E
100,0.084,0.9972,3.4,0.61,10.2,E
101,0.075,0.9959,3.31,0.56,10.4,E
102,0.08,0.9972,3.3,0.59,9.0,E
103,0.077,0.9967,3.29,0.51,9.2,F
104,0.07,0.996,3.33,0.48,9.4,F
105,0.077,0.9967,3.29,0.51,9.2,F
106,0.467,0.9973,3.08,1.31,9.3,F
107,0.08800000000000001,0.9969,3.46,0.79,9.3,F
108,0.091,0.9976,3.37,0.8,9.6,E
109,0.122,0.9969,3.21,0.69,9.3,F
110,0.104,0.9964,3.19,0.93,9.5,F
111,0.084,0.9964,3.15,0.66,9.8,F
112,0.085,0.9964,3.15,0.66,9.8,F
113,0.08,0.9988,3.32,0.67,9.7,E
114,0.104,0.9964,3.19,0.93,9.5,F
115,0.09,0.9966,3.07,0.63,10.5,E
116,0.077,0.9978,3.39,0.61,10.0,E
117,0.08199999999999999,0.997,3.37,0.5,9.4,E
118,0.119,0.9962,3.21,0.6,10.9,E
119,0.097,0.9959,3.34,0.54,9.2,E
120,0.17800000000000002,0.9962,3.3,0.57,9.0,F
121,0.119,0.9962,3.21,0.6,10.9,E
122,0.075,0.998,3.49,0.52,9.2,F
123,0.08,0.9976,3.44,0.53,9.5,F
124,0.08199999999999999,0.996,3.39,0.48,9.5,F
125,0.146,0.9984,3.16,0.7,9.4,F
126,0.081,0.9964,3.53,0.49,10.9,F
127,0.08199999999999999,0.9964,3.54,0.48,10.9,F
128,0.065,0.9962,3.42,0.92,10.5,D
129,0.07200000000000001,0.9955,3.42,0.57,9.4,F
130,0.118,0.9968,3.24,0.66,9.4,F
131,0.049,0.9937,3.63,0.63,13.0,F
132,0.049,0.9937,3.63,0.63,13.0,F
133,0.06,0.9952,3.4,0.58,9.8,E
134,0.084,0.9959,3.22,0.55,9.9,E
135,0.09,0.9965,3.19,0.82,9.6,F
136,0.08900000000000001,0.9968,3.23,0.77,9.5,F
137,0.081,0.9972,3.48,0.64,9.2,F
138,0.081,0.9962,3.33,0.54,9.5,F
139,0.081,0.9962,3.32,0.54,9.5,F
140,0.09,0.9965,3.19,0.82,9.6,F
141,0.08900000000000001,0.9968,3.23,0.77,9.5,F
142,0.05,0.9916,3.68,0.79,14.0,E
143,0.066,0.9954,3.34,0.58,9.4,F
144,0.05,0.9916,3.68,0.79,14.0,E
145,0.117,0.9968,3.17,0.62,9.4,F
146,0.087,0.9944,3.54,0.52,10.0,F
147,0.236,0.9968,3.11,0.8,9.3,F
148,0.07400000000000001,0.9959,3.42,0.58,10.2,E
149,0.08900000000000001,0.9975,3.53,0.61,10.5,E
150,0.077,0.9958,3.33,0.53,10.3,E
151,0.61,0.9996,2.74,2.0,9.4,G
152,0.095,0.995,3.35,0.54,10.1,F
153,0.095,0.995,3.35,0.54,10.1,F
154,0.07,0.9973,3.42,0.72,10.5,F
155,0.071,0.9973,3.42,0.71,10.5,F
156,0.07,0.9973,3.42,0.72,10.5,F
157,0.071,0.9973,3.42,0.71,10.5,F
158,0.073,0.9969,3.48,0.5,9.3,F
159,0.079,0.9968,3.59,0.57,9.3,E
160,0.09,0.9959,3.2,0.56,9.6,F
161,0.07200000000000001,0.9965,3.17,1.08,9.2,G
162,0.076,0.9964,3.33,0.56,10.0,E
163,0.07,0.9982,3.37,0.49,9.4,F
164,0.07,0.9981,3.37,0.49,9.4,F
165,0.1,0.9961,3.19,0.62,9.5,F
166,0.085,0.9956,3.34,0.52,10.2,F
167,0.07200000000000001,0.9956,3.37,0.48,9.0,G
168,0.08900000000000001,0.9953,3.47,0.55,10.4,E
169,0.36,0.9964,3.0,1.59,9.5,F
170,0.058,0.9972,3.36,0.33,9.1,G
171,0.073,0.9972,3.29,0.61,9.2,E
172,0.073,0.9972,3.29,0.61,9.2,E
173,0.068,0.9961,3.42,0.57,11.5,E
174,0.08,0.9961,3.33,0.47,9.5,F
175,0.085,0.9958,3.35,0.78,9.5,F
176,0.08,0.9961,3.33,0.47,9.5,F
177,0.087,0.9972,3.58,0.61,10.5,E
178,0.068,0.9969,3.48,0.56,9.6,F
179,0.067,0.9969,3.19,0.59,9.5,F
180,0.067,0.9969,3.19,0.59,9.5,F
181,0.27,0.9972,3.12,1.02,9.3,F
182,0.076,0.9972,3.44,0.52,9.3,F
183,0.077,0.9971,3.54,0.58,9.3,F
184,0.079,0.997,3.52,0.58,9.3,E
185,0.111,0.9971,3.26,0.53,9.7,F
186,0.08199999999999999,0.9972,3.34,0.55,9.2,F
187,0.084,0.9976,3.39,0.49,9.7,F
188,0.084,0.9968,3.2,0.55,9.5,F
189,0.08199999999999999,0.9968,3.2,0.55,9.5,F
190,0.077,0.9976,3.23,0.62,9.4,F
191,0.07400000000000001,0.9974,3.57,0.62,9.8,E
192,0.099,0.9969,3.28,0.61,9.5,F
193,0.071,0.9964,3.28,0.55,9.7,F
194,0.071,0.9964,3.28,0.55,9.7,F
195,0.07400000000000001,0.9968,3.25,0.54,9.4,F
196,0.07400000000000001,0.9968,3.46,0.59,10.2,F
197,0.067,0.9981,3.11,0.97,10.1,E
198,0.046,0.9924,3.57,0.85,13.0,D
199,0.061,0.9948,3.51,0.43,11.4,G
200,0.056,0.99695,3.22,0.82,10.3,D
201,0.097,0.9975,3.04,1.03,9.3,F
202,0.075,0.99545,3.36,0.79,9.5,F
203,0.08800000000000001,0.9961,3.34,0.55,9.2,F
204,0.08900000000000001,0.99615,3.34,0.56,9.2,E
205,0.095,0.9994,3.2,0.77,10.8,D
206,0.095,0.9994,3.2,0.77,10.8,D
207,0.069,0.99625,3.29,0.53,9.3,F
208,0.1,0.9966,3.22,0.67,9.4,F
209,0.054000000000000006,0.998,3.31,0.88,10.5,D
210,0.039,0.99585,3.3,0.86,12.4,E
211,0.083,0.99685,3.35,0.56,10.0,E
212,0.059,0.998,3.21,0.67,10.2,E
213,0.06,0.9959,3.3,0.43,10.1,F
214,0.092,0.9974,3.24,0.71,9.8,E
215,0.06,0.9974,3.34,0.76,10.5,F
216,0.101,0.9962,3.14,0.57,11.0,F
217,0.07200000000000001,0.9967,3.36,0.55,9.1,F
218,0.076,0.9957,3.39,0.54,9.7,F
219,0.08,0.99655,3.3,0.6,9.5,F
220,0.08199999999999999,0.9964,3.34,0.59,9.4,E
221,0.101,0.9957,3.15,0.57,9.4,F
222,0.057,0.99525,3.42,0.6,9.5,F
223,0.083,0.99815,3.28,0.6,10.0,E
224,0.08900000000000001,0.99745,3.31,0.57,10.4,G
225,0.073,0.99615,3.37,0.58,10.5,E
226,0.337,0.9964,3.04,1.61,9.5,E
227,0.08900000000000001,0.9984,3.39,0.63,9.8,F
228,0.073,0.99615,3.37,0.58,10.5,E
229,0.081,0.99685,3.46,0.5,11.0,F
230,0.054000000000000006,0.9927,3.54,0.62,12.2,D
231,0.078,0.99625,3.37,0.52,9.9,E
232,0.09,0.998,3.34,0.7,9.6,E
233,0.081,0.99685,3.46,0.5,11.0,F
234,0.065,0.99685,3.32,0.55,9.0,E
235,0.097,0.99675,3.37,0.58,9.0,E
236,0.097,0.99675,3.37,0.58,9.0,E
237,0.097,0.99675,3.37,0.58,9.2,E
238,0.097,0.99675,3.37,0.58,9.0,E
239,0.065,0.99685,3.32,0.55,9.0,E
240,0.263,0.9971,3.0,1.09,9.3,F
241,0.093,0.99925,3.14,0.71,10.9,E
242,0.102,0.99565,3.08,0.49,9.8,E
243,0.075,1.00005,3.07,0.84,9.2,D
244,0.075,1.00005,3.07,0.84,9.2,D
245,0.084,0.9983,3.61,0.96,9.9,E
246,0.075,0.99685,3.38,0.52,9.5,F
247,0.07200000000000001,0.9963,3.2,0.45,9.3,F
248,0.07400000000000001,0.99615,3.35,0.48,9.8,E
249,0.084,0.9983,3.61,0.96,9.9,E
250,0.063,0.9985,3.22,0.78,10.0,E
251,0.07400000000000001,0.9972,3.47,0.7,9.9,E
252,0.09,0.9986,3.17,0.53,10.5,F
253,0.092,0.9959,3.23,0.59,9.5,F
254,0.07400000000000001,0.9972,3.47,0.7,9.9,E
255,0.073,0.99675,3.26,0.57,9.3,F
256,0.075,0.998,3.22,0.62,9.2,F
257,0.075,0.9968,3.49,0.67,9.2,F
258,0.611,0.9968,3.06,1.26,9.4,F
259,0.085,0.99965,3.36,0.8,10.5,D
260,0.077,0.99625,3.29,0.65,9.3,F
261,0.087,0.99565,3.35,0.6,9.4,G
262,0.07,0.99575,3.34,0.57,10.0,F
263,0.077,0.9963,3.28,0.67,9.3,F
264,0.064,0.9999,3.08,0.87,10.9,F
265,0.071,0.9968,3.2,0.72,10.2,D
266,0.096,1.00025,3.6,0.72,9.8,G
267,0.078,0.9973,3.35,0.86,12.8,C
268,0.077,0.9987,3.69,0.91,9.4,E
269,0.104,0.9996,3.28,0.97,10.1,E
270,0.087,0.9965,3.36,0.67,10.7,E
271,0.104,0.9996,3.28,0.97,10.1,E
272,0.071,0.99935,3.22,0.78,10.1,F
273,0.076,0.99735,3.31,0.64,9.4,F
274,0.08800000000000001,0.99915,3.38,0.77,9.4,F
275,0.087,0.9965,3.36,0.67,10.7,E
276,0.077,0.9987,3.69,0.91,9.4,E
277,0.104,0.9996,3.28,0.97,10.1,E
278,0.073,0.9976,3.23,0.82,12.6,C
279,0.087,0.9991,3.38,0.77,10.5,D
280,0.071,0.9986,3.12,0.82,9.3,E
281,0.358,0.9972,3.25,1.08,9.9,D
282,0.067,0.9971,3.36,0.57,9.1,F
283,0.087,0.9991,3.38,0.77,10.5,D
284,0.102,1.00015,3.31,0.71,9.8,F
285,0.102,1.00015,3.31,0.71,9.8,F
286,0.073,0.9997,3.1,0.76,10.3,E
287,0.092,0.9967,3.37,0.7,10.3,E
288,0.091,0.9976,3.34,0.86,10.6,D
289,0.105,1.001,3.2,0.95,9.2,F
290,0.091,0.9976,3.34,0.86,10.6,D
291,0.343,0.9979,3.3,0.71,10.5,F
292,0.091,0.9994,3.22,0.64,10.3,E
293,0.098,0.9964,3.41,0.6,10.1,E
294,0.094,1.0014,3.05,0.81,9.5,E
